1,Avatar,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FId5FdejFeNxgf_5_d.jpg,In the future Jake a paraplegic war veteran is brought to another planet Pandora which is inhabited by the Navi a humanoid race with their own language and culture. Those from Earth find themselves at odds with each other and the local culture....
2,Titanic,Romance,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIKGnQKPu0TmOP_2_d.jpg,Titanic is an epic action-packed romance set against the ill-fated maiden voyage of the R.M.S. Titanic the pride and joy of the White Star Line and at the time the largest moving object ever built. She was the most luxurious liner of her era -- ...
3,The Dark Knight,Superhero,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI3TK768yqcI65_1_d.jpg,The follow-up to the action hit Batman Begins  The Dark Knight u reunites director Christopher Nolan and star Christian Bale who reprises the role of BatmanBruce Wayne. In the new film Batman raises the stakes in his war on crime. With the hel...
4,Star Wars: Episode IV - A New Hope,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI1hX233aoXM42_1_d.jpg,Luke Skywalker stays with his foster aunt and uncle on a farm on Tatooine. He is desperate to get off this planet and get to the Academy like his friends but his uncle needs him for the next harvest. Meanwhile an evil emperor has taken over the ...
5,Shrek 2,Family,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI2rK5650mBf47_1_d.jpg,After returning from their honeymoon and showing home movies to their friends Shrek and Fiona learn Fionas parents have heard their daughter has married her true love and wish to meet the husband and invite him to their kingdom called Far Far A...
6,E.T. the Extra-Terrestrial,Fantasy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FInfkqqvbggOqo_1_d.jpg,Steven Spielbergs classic tale re-released (with additional scenes added) to celebrate the films 20th anniversary is about a boy named Elliot (Henry Thomas) who befriends and later attempts to protect an alien stranded on Earth ...
7,Star Wars: Episode I - The Phantom Menace,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI7Yw8ba2bXha7_3_d.jpg,When the evil Trade Federation plots to take over the peaceful planet of Naboo Jedi warrior Qui-Gon Jinn and his apprentice Obi-Wan Kenobi embark on an amazing adventure to save the planet. With them on their journey is the young queen Amidala G...
8,Pirates of the Caribbean: Dead Man's Chest,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIfdHhimYAjnik_1_d.jpg,Captain Jack Sparrow (Johnny Depp) discovers he owes a blood debt to the legendary Davey Jones Captain of the ghostly Flying Dutchman. With time running out Jack must find a way out of his debt or else be doomed to eternal damnation and servitud...
9,Toy Story 3,Family,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIxqpGAyuPJgBz_3_d.jpg,Toy Story 3 welcomes Woody (voice of Tom Hanks) Buzz (voice of Tim Allen) and the whole gang back to the big screen as Andy prepares to depart for college and his loyal toys find themselves in... day care! These untamed tots with their sticky li...
10,Spider-Man,Superhero,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIkhispkvpztnn_1_d.jpg,A rather odd thing has just just occurred in the life of nerdy high school student Peter Parker; after being bitten by a radioactive spider his body chemistry is mutagenically altered in that he can scale walls and ceilings and he develops a spi...
