1,The Shawshank Redemption,Crime Drama
2,Fight Club,Action/Adventure
3,The Godfather,Crime Drama
4,The Dark Knight,Action/Adventure
5,Pulp Fiction,Crime Drama
6,Forrest Gump,Drama
7,Lord of the Rings: The Return of the King,Action/Adventure
8,Lord of the Rings: The Fellowship of the Ring,Action/Adventure
9,The Matrix,Science Fiction
10,Schindler's List,War Drama
11,Goodfellas,Crime Drama
12,Inception,Action/Adventure
13,The Silence of the Lambs,Horror
14,Star Wars: Episode V - The Empire Strikes Back,Action/Adventure
15,Raiders of the Lost Ark,Action/Adventure
16,The Godfather: Part II,Crime Drama
17,Lord of the Rings: The Two Towers,Action/Adventure
18,Saving Private Ryan,War Drama
19,One Flew Over the Cuckoo's Nest,Drama
20,Back to the Future,Action/Adventure
21,Star Wars: Episode IV - A New Hope,Action/Adventure
22,Se7en,Action/Adventure
23,Gladiator,Action/Adventure
24,Braveheart,Action/Adventure
25,Die Hard,Action/Adventure
26,The Departed,Crime Drama
27,The Lion King,Family Film
28,The Shining,Horror
29,The Usual Suspects,Crime Drama
30,The Good the Bad and the Ugly,Action/Adventure
31,Terminator 2: Judgement Day,Action/Adventure
32,Toy Story,Family Film
33,Alien,Science Fiction
34,Psycho,Horror
35,American History X,Crime Drama
36,Memento,Crime Drama
37,The Dark Knight Rises,Action/Adventure
38,Taxi Driver,Crime Drama
39,Casablanca,War Drama
40,12 Angry Men,Crime Drama
41,The Green Mile,Crime Drama
42,Reservoir Dogs,Crime Drama
43,Apocalypse Now,War Drama
44,Rear Window,Thriller
45,American Beauty,Drama
46,Batman Begins,Action/Adventure
47,Eternal Sunshine of the Spotless Mind,Romance
48,The Avengers,Action/Adventure
49,Star Wars: Episode VI - Return of the Jedi,Action/Adventure
50,The Sixth Sense,Thriller
51,Wall-E,Family Film
52,Avatar,Action/Adventure
53,Finding Nemo,Family Film
54,Jurassic Park,Action/Adventure
55,Pirates of the Caribbean: The Curse of the Black Pearl,Action/Adventure
56,The Wizard of Oz,Family Film
57,Full Metal Jacket,War Drama
58,Citizen Kane,Drama
59,Up,Family Film
60,Toy Story 3,Family Film
61,Aliens,Science Fiction
62,The Princess Bride,Action/Adventure
63,Unforgiven,Drama
64,Indiana Jones and the Last Crusade,Action/Adventure
65,Spirited Away,Action/Adventure
66,To Kill a Mockingbird,Drama
67,Jaws,Thriller
68,It's a Wonderful Life,Family Film
69,Blade Runner,Science Fiction
70,Pan's Labyrinth,Horror
71,No Country for Old Men,Thriller
72,The Professional,Crime Drama
73,Iron Man,Action/Adventure
74,The Big Lebowski,Comedy
75,The Bourne Ultimatum,Action/Adventure
76,Monty Python and the Holy Grail,Comedy
77,Inglourious Basterds,War Drama
78,The Bourne Identity,Action/Adventure
79,Raging Bull,Drama
80,Fargo,Crime Drama
81,Gran Torino,Crime Drama
82,Gone with the Wind,War Drama
83,A Clockwork Orange,Science Fiction
84,Stand by Me,Drama
85,The Breakfast Club,Comedy
86,Kill Bill: Volume 1,Thriller
87,Ferris Bueller's Day Off,Comedy
88,The Seven Samurai,Action/Adventure
89,City of God,Drama
90,Rocky,Drama
91,Edward Scissorhands,Drama
92,North by Northwest,Thriller
93,Shaun of the Dead,Comedy
94,Platoon,War Drama
95,The Pianist,War Drama
96,Vertigo,Thriller
97,Star Trek,Science Fiction
98,Donnie Darko,Drama
99,Scarface,Crime Drama
100,Harry Potter and the Deathly Hallows: Part 2,Action/Adventure
